Date,Divergence,Sentiment Z,Conditions Z
2024-11-01,1.3171572151024338,0.23998998041490702,-1.0771672346875267
2024-12-01,1.2397410669798035,0.09921405184289776,-1.1405270151369058
2025-01-01,1.2674592841629033,-0.00376311384723909,-1.2712223980101425
2025-02-01,0.7013406709866276,-0.656713958821045,-1.3580546298076726
2025-03-01,-0.02460865263076295,-1.3680014585952534,-1.3433928059644904
2025-04-01,-0.7709219311988638,-1.954114849330163,-1.1831929181312992
2025-05-01,-0.25359947803420035,-1.335571416748319,-1.0819719387141187
2025-06-01,-0.09168004196327229,-1.0506241732476467,-0.9589441312843744
2025-07-01,0.12908265459968638,-0.7760777483293939,-0.9051604029290803
2025-08-01,-0.09684622906783846,-0.9807359782741059,-0.8838897492062674
2025-09-01,-0.4472289604898566,-1.2938180978571865,-0.8465891373673299
2025-10-01,-0.8694995843133773,-1.3248707979676957,-0.4553712136543185
2025-11-01,-1.0528696542737346,-1.719454204591699,-0.6665845503179643
2025-12-01,-1.002158454579666,-1.5631636405515852,-0.5610051859719192
2026-01-01,-1.1090865609331693,-1.549435765025691,-0.44034920409252165
2026-02-01,-0.7525269007254745,-1.1881389467589334,-0.435612046033459
2026-03-01,-0.6573013323721388,-1.3172011361029812,-0.6598998037308423
2026-04-01,-0.6122061497237852,-1.4603363092853794,-0.8481301595615942
